"Id produit";"Nom";"Référence interne";"Prix";"Prix HT";"Prix barré";"Frais de port";"Ecotaxe";"Monnaie";"Catégorie";"Id catégorie NetAff";"Catégorie marchand";"Url";"Modèle";"Marque";"EAN";"Descriptif";"Garantie";"Disponibilité";"Délais de livraison";"Quantité";"Indicateur de stock";"Indicateur de nouveauté";"Indicateur de promotion";"Indicateur de soldes";"Indicateur de performance";"Url image petite";"Url image moyenne";"Url image grande";"Url de tracking des affichages";"Mots-clés";"Référence constructeur";"Url image marchand"
"7526295142599";"Culotte blanche et rubans de satin roses pâles";"BABL790";"15,65";"0,00";"15,65";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542599V3";"";"Baci";"0";"Culotte blanche et rubans de satin roses pâles";"";"";"";"0";"0";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/777/photo_4593542599g";"http://img.metaffiliation.com/c/79/26295/777/photo_4593542599g";"http://img.metaffiliation.com/c/79/26295/777/photo_4593542599g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542599V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl790.jpg"
"7526295142601";"Ensemble soutien gorge à balconnets en dentelle";"BABL794";"40,85";"0,00";"40,85";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542601V3";"";"Baci";"0";"Ensemble soutien gorge à balconnets en dentelle";"";"";"";"0";"1";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/779/photo_4593542601g";"http://img.metaffiliation.com/c/79/26295/779/photo_4593542601g";"http://img.metaffiliation.com/c/79/26295/779/photo_4593542601g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542601V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl794.jpg"
"7526295142603";"G-String en dentelle à ruban rose pâle";"BABL799";"9,35";"0,00";"9,35";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542603V3";"";"Baci";"0";"G-String en dentelle à ruban rose pâle";"";"";"";"0";"1";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/781/photo_4593542603g";"http://img.metaffiliation.com/c/79/26295/781/photo_4593542603g";"http://img.metaffiliation.com/c/79/26295/781/photo_4593542603g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542603V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl799.jpg"
"7526295142605";"Culotte rose pâle avec dentelle arrière";"BABL803";"11,55";"0,00";"11,55";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542605V3";"";"Baci";"0";"Culotte rose pâle avec dentelle arrière";"";"";"";"0";"1";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/783/photo_4593542605g";"http://img.metaffiliation.com/c/79/26295/783/photo_4593542605g";"http://img.metaffiliation.com/c/79/26295/783/photo_4593542605g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542605V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl803.jpg"
"7526295142607";"G-String à ruban en dentelle blanche";"BABL805";"9,35";"0,00";"9,35";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542607V3";"";"Baci";"0";"G-String à ruban en dentelle blanche";"";"";"";"0";"1";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/785/photo_4593542607g";"http://img.metaffiliation.com/c/79/26295/785/photo_4593542607g";"http://img.metaffiliation.com/c/79/26295/785/photo_4593542607g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542607V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl805.jpg"
"7526295142609";"G-String en tulle avec dentelle rose pâle";"BABL810";"10,40";"0,00";"10,40";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542609V3";"";"Baci";"0";"G-String en tulle avec dentelle rose pâle";"";"";"";"0";"1";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/787/photo_4593542609g";"http://img.metaffiliation.com/c/79/26295/787/photo_4593542609g";"http://img.metaffiliation.com/c/79/26295/787/photo_4593542609g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542609V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl810.jpg"
"7526295142611";"G-String rose pâle en dentelle";"BABL811";"9,35";"0,00";"9,35";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542611V3";"";"Baci";"0";"G-String rose pâle en dentelle";"";"";"";"0";"0";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/789/photo_4593542611g";"http://img.metaffiliation.com/c/79/26295/789/photo_4593542611g";"http://img.metaffiliation.com/c/79/26295/789/photo_4593542611g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542611V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl811.jpg"
"7526295142613";"G-String en tulle avec dentelle blanche";"BABL813";"10,40";"0,00";"10,40";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542613V3";"";"Baci";"0";"G-String en tulle avec dentelle blanche";"";"";"";"0";"1";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/791/photo_4593542613g";"http://img.metaffiliation.com/c/79/26295/791/photo_4593542613g";"http://img.metaffiliation.com/c/79/26295/791/photo_4593542613g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542613V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl813.jpg"
"7526295142615";"Culotte blanc en dentelle";"BABL815";"10,40";"0,00";"10,40";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542615V3";"";"Baci";"0";"Culotte blanc en dentelle";"";"";"";"0";"1";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/793/photo_4593542615g";"http://img.metaffiliation.com/c/79/26295/793/photo_4593542615g";"http://img.metaffiliation.com/c/79/26295/793/photo_4593542615g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542615V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl815_alternative.jpg"
"7526295142617";"G-String en microfibres avec ceinture dentelle rose pâle";"BABL818";"12,50";"0,00";"12,50";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542617V3";"";"Baci";"0";"G-String en microfibres avec ceinture dentelle rose pâle";"";"";"";"0";"1";"0";"0";"0";"0";"http://img.metaffiliation.com/c/79/26295/795/photo_4593542617g";"http://img.metaffiliation.com/c/79/26295/795/photo_4593542617g";"http://img.metaffiliation.com/c/79/26295/795/photo_4593542617g";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542617V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/b/a/babl818.jpg"
